	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
abnormal embryo size	embryo phenotype,growth/size/body region phenotype	1700003F12Rik,4932438A13Rik,Abca1,Acat2,Ace,Actr5,Acvr2a,Adamts9,Adar,Alg10b,Alg6,Alg8,Anapc15,Ankrd52,Ap2b1,Aph1a,Arf4,Arhgef12,Arid3a,Arih2,Asb2,Asf1a,Atg7,Atp13a1,Axin2,B3galnt2,Bcl7a,Bmi1,Bmp4,C2cd3,Cacna1s,Calu,Casc3,Cbx4,Ccnq,Cct5,Cdan1,Cdc42bpb,Cdk17,Cdk4,Cdk8,Cep83,Cgn,Chchd1,Chd1,Chmp7,Chtf18,Ckap4,Ckap5,Clcc1,Cnbp,Coa5,Coq6,Cox6b1,Cox7c,Cr1l,Cramp1l,Crispld2,Csk,Cul5,Dbn1,Ddx39a,Dhx29,Diaph3,Dnmt3a,Dpf2,Dst,E2f3,Egr1,Eif2b4,Eif4enif1,Eif4h,Elavl1,Eprs,Erf,Exoc3l2,Eya4,Fadd,Fgd1,Fgf15,Fgf3,Fgf9,Fgfr1,Flii,Flywch1,Folr1,Fus,Fzr1,Gata2,Get1,Ggnbp2,Gjb3,Gjc1,Gna13,Gnpda1,Golga7,Gpaa1,Hibch,Hmg20a,Hmgn2,Hnrnpab,Hsf1,Hyls1,Ift52,Ift88,Ilk,Ino80c,Ino80d,Inpp5e,Ints10,Ipo4,Ipo9,Ippk,Irx1,Itpr1,Junb,Jup,Kcnj13,Kctd15,Kctd3,Kif1b,Klb,Klf16,Krit1,L3mbtl3,Lamtor4,Laptm4b,Lmbrd1,Lrp1,Lrrc8a,Ly6e,Mapkap1,Mccc1,Mdh2,Med1,Med16,Med28,Memo1,Mfsd2a,Mmachc,Mrap,Mrpl58,Mtf1,Mthfd2,Mvk,Myh8,Myo18a,Myo1h,Nabp2,Ndel1,Ndufs2,Ndufs7,Nepro,Nme6,Nobox,Nr6a1,Nsmce1,Nsmce2,Nufip2,Nxn,Ola1,Orai1,Oser1,Papola,Pcgf1,Pcsk5,Pdhb,Pfdn1,Pfdn5,Pgm1,Phgdh,Phip,Pibf1,Piezo1,Piezo2,Pigq,Pik3c2a,Plod2,Plod3,Ppfia1,Ppox,Ppp1r35,Pptc7,Prdm12,Prrc2c,Psmg1,Psph,Ptpn12,Rab2a,Rad9a,Ranbp1,Rbm45,Rexo1,Rfc1,Rnf31,Rnf4,Romo1,Rrp8,Rsf1,Rttn,S100a16,Sash1,Scrib,Sec24b,Septin11,Sfr1,Shmt2,Slc25a1,Slc35b4,Slc35d1,Slc36a1,Slc7a7,Slmap,Smarcad1,Smg9,Snx3,Sptlc1,Srd5a3,Srsf5,Srsf6,St14,Sufu,Tbx4,Tctn3,Tdo2,Tead1,Tedc1,Thap1,Thoc6,Tm2d1,Tmem100,Tmem132a,Tmem209,Tmem70,Tnnc1,Trf,Trib1,Tusc3,Ubn2,Ubp1,Ubxn2a,Ubxn7,Vps25,Vps4a,Wdr45b,Wdr59,Wdr60,Xpot,Zc3h13,Zfp148,Zfp503,Zfp609,Zfp871,Zfp91,Zwilch	255	252	259	0
abnormal embryo turning	embryo phenotype	Actr5,Alg8,Asf1a,Bicc1,Bmp4,Cdk8,Ckap5,Clcc1,Cmtr2,Coq6,Cr1l,Csk,Dbn1,Dennd1a,Dhx29,Diaph3,Dppa1,Dsp,Ehbp1,Eloa,Faf2,Folr1,Got2,Greb1l,Hyls1,Ift172,Ift43,Ift52,Ift88,Ints10,Ipo9,Junb,Krit1,Mdh2,Nadk2,Ndufs7,Nog,Nr6a1,Nsmce2,Pcgf1,Pcnp,Pdhb,Phgdh,Pibf1,Pigq,Pole2,Ppp1r35,Psmg1,Rad1,Rad9a,Rfc1,Rgl1,Romo1,Sfmbt2,Sfr1,Smo,Srd5a3,Tead1,Tedc2,Tmem70,Ubtf,Uggt1,Vcan,Zmym2	64	56	61	0
abnormal embryonic autopod plate morphology	limbs/digits/tail phenotype	Cox5b	1	1	0	0
abnormal eosinophil cell number	immune system phenotype,hematopoietic system phenotype	Agtr1a,Calcr,Hikeshi,Stx7	4	0	3	1
abnormal epidermal immune compartment	integument phenotype	Bivm,Cnot4,Ifnlr1,Nacc2,Sh3bgrl3	5	0	0	6
abnormal epididymis morphology	reproductive system phenotype	2510002D24Rik,2700097O09Rik,AB124611,Adam26a,Aplnr,Asb4,Atp2b1,Bpifa2,Btbd17,Calcb,Casc3,Caskin1,Cd300e,Cdk9,Cdkn1a,Cgnl1,Chrnb2,Creb3,Crybb3,Csf3r,Cst9,Dpyd,Ecscr,Egfl8,Epha6,Gas2l1,Gata2,Gbgt1,Gdap1,Gipc3,Gja10,Gm14496,Gpr65,Gprc5b,Gpx1,Grin3a,Hectd2,Il20rb,Katna1,Katnip,Kcnj3,Kcnk18,Kiss1r,Lamp3,Lamtor1,Lrit3,Meak7,Mfsd2a,Mmachc,Ms4a3,Nhlh2,Nos3,Paqr8,Pcnp,Pdik1l,Pebp1,Peli3,Phf19,Plekha8,Prkab1,Ranbp2,Rbm22,Rgcc,Sacm1l,Scart2,Sgpl1,Slc25a18,Slc6a14,Slitrk1,Spink2,Ssbp2,Tdrp,Tmem106b,Tmem174,Tst,Ube2j2,Ulk3,Vti1a,Xk,Zc3h4,Zfp236,Zfp398,Zfp558	83	110	0	0
abnormal erythrocyte cell number	hematopoietic system phenotype	Agtr1a,Tfr2	2	0	1	1
abnormal esophagus morphology	digestive/alimentary phenotype	Itch,Mgat4d,Mmp15,Mogs,Snrnp27	5	4	1	0
abnormal external female genitalia morphology	reproductive system phenotype	Cenpj	1	0	0	1
abnormal external male genitalia morphology	reproductive system phenotype	Cenpj,Zfp106	2	0	0	2
abnormal eye anterior chamber depth	vision/eye phenotype	4931406C07Rik,Abca1,Arhgap24,Baiap2l2,Csf2rb,Cstb,Ctsh,Cyb561d2,Cyp7b1,Dbn1,Gp6,Il18rap,Il2ra,Itgb8,Klf12,Map4k5,Myof,Nr1d1,Phf8,Plekhg3,Rspo1,Slc37a1,Smarcb1,Tbc1d8b,Tead1,Trim59,Trpm6	27	0	15	19
abnormal eye electrophysiology	vision/eye phenotype	Dll1	1	0	1	3
abnormal eye morphology	vision/eye phenotype	1700025G04Rik,1700034E13Rik,2700054A10Rik,4833420G17Rik,Aadac,Abhd11,Abhd13,Abhd17c,Acot3,Adamts1,Adamts6,Adamts9,Adgb,Adgrl4,Adrb2,Aire,Akap13,Alkbh6,Ambn,Ap1s2,Apbb2,Aplnr,Arhgap25,Asb7,Atg9b,Atrn,Atxn7l2,Awat2,B3galt6,Babam1,Barx2,Bbs1,Bcar3,Bfsp1,Bloc1s6,C1qtnf12,Cabp4,Cacna1f,Camk1d,Caskin1,Catsper3,Cav2,Ccdc186,Ccl28,Ccr8,Cdcp3,Cdk6,Cdkn2a,Cds1,Cgnl1,Chd1,Chst2,Chst8,Chsy3,Churc1,Cndp2,Cnpy2,Cops7a,Cplane1,Crbn,Crybg1,Cuta,Cxcl1,Cyp4v3,Dhx8,Dlgap1,Dnase1l2,Dnase1l3,Dock11,Edc3,Eef1d,Eif2b4,Elk3,Eloa,Eml2,Epc2,Erich3,Extl3,Fam221a,Fam32a,Fam53a,Fam83d,Fbn2,Fcgbp,Fkbp11,Fmo3,Fndc3b,Foxd4,Foxe3,Foxj3,Frmd5,Fsd2,Fth1,Gapvd1,Gars,Gas6,Gkn1,Gm10800,Gna15,Gp2,Gpatch3,Gpc1,Gpx7,Grhl3,Grik4,Grik5,Grm6,Gsg1l,H2bc4,Haao,Hacd3,Hacl1,Hdgfl3,Helq,Hif1an,Hook2,Hs3st5,Hsd17b4,Iars2,Ica1,Ica1l,Id3,Ifi208,Ifngr1,Iglon5,Il17rc,Il1rl2,Il20rb,Il21r,Il9r,Inhbb,Inpp5e,Ipo7,Irgm1,Irx6,Itgb5,Jun,Kat14,Kat5,Kbtbd12,Kcnh8,Kcnt1,Klk13,Kpna2,Krit1,Krt72,Laptm4b,Larp6,Lhfp,Lmod3,Lrch2,Lrrc8a,Lrrc8c,Lrrtm1,Lrrtm2,Luc7l,Maats1,Mab21l2,Malrd1,Mapk6,Mark4,Mcl1,Mcts1,Med1,Meis3,Mfng,Mfsd1,Mgst2,Mmachc,Mmp16,Morc4,Ms4a4a,Mthfd2,Mycbp2,Myct1,Naa10,Naaladl2,Nav3,Ncf1,Nck1,Ndrg3,Negr1,Nemp1,Neurl4,Nfya,Ngfr,Nhsl2,Niban3,Nlrp1a,Nr1d1,Nr1d2,Nucb1,Olfr392,Opn3,Oprl1,Pabpc5,Pald1,Pax6,Pdcd6ip,Pde11a,Pdik1l,Pex3,Phgdh,Phykpl,Pja1,Pla2g2f,Plcb1,Plekha1,Pnkp,Pole2,Pramel12,Prss12,Prss35,Psd,Psph,Ptchd3,Pvrig,Pygo2,Rac1,Rasgrp3,Rbbp4,Rbm22,Resf1,Retreg3,Rnf10,Rnf168,Rpl12,Rtl5,Scin,Sclt1,Scrib,Setmar,Shisal1,Shroom2,Slc17a8,Slc17a9,Slc22a3,Slc29a1,Slc38a10,Slc9a8,Snx10,Sparc,Spata46,Spns2,Ssbp2,Sspo,Sstr2,St14,Stim1,Suclg2,Sufu,Sun5,Taar8c,Tacstd2,Tafa3,Tango6,Tceal1,Tctn1,Tle4,Tmc7,Tmem189,Tmem30b,Tmem8b,Tnfaip8l1,Tnfrsf11b,Tnfrsf18,Tprg,Trak2,Trap1,Trnt1,Trp53inp2,Tspan32,Ube2f,Ubox5,Uhrf1,Unc5cl,Upf3a,Vrk3,Vwa2,Vwc2l,Washc3,Wdr11,Wfdc1,Xpo5,Yipf6,Yy2,Zbtb48,Zc2hc1a,Zc3h4,Zc3hav1l,Zkscan7	291	153	296	12
abnormal eye pigmentation	pigmentation phenotype,vision/eye phenotype	Kat14,Spns2	2	1	2	0
abnormal eye posterior chamber depth	vision/eye phenotype	Hmmr,Lep,Nr1d1	3	0	1	3
abnormal eye size	vision/eye phenotype	Anxa6,Cisd2,Kat14,Pex3,Spns2	5	4	2	0
abnormal eyelid aperture	vision/eye phenotype	Ehd1,Kat14,Spns2,Usp1	4	3	1	1
abnormal eyelid fusion	vision/eye phenotype	Axin2,Bcl11b	2	1	2	0
abnormal eyelid morphology	vision/eye phenotype	Awat2,Barx2,Diaph3,Dsg1b,Duoxa2,Epb41l1,Lrrk1,Nxn,Pdcd2,Pus1,Spp1,Svep1,Tuft1	13	8	7	1
abnormal facial morphology	craniofacial phenotype,growth/size/body region phenotype	Abca12,Axin2,Bcl11b,Cacna1s,Cep290,Col11a1,Ebf2,Ednra,Enkur,Focad,Gabpa,Gdf11,Hesx1,Kif1b,Msx1,Mthfd2,Nxn,Pcsk5,Pkdcc,Rab34,Rbm45,Slc25a1,Slc26a2,Slc35d1,Snx3,Tmem132a,Ubn2,Xpot	28	34	35	0
abnormal female genitalia morphology	reproductive system phenotype	Mzb1,Shisa6	2	0	0	2
abnormal femur morphology	limbs/digits/tail phenotype,skeleton phenotype	Ap4e1,Bnip2,Chpf,Col1a2,Col9a2,Ctrc,Cyp27b1,Dnase1l2,Duoxa2,Fbn2,Lrrk1,Mysm1,Ogfod1,Phex,Pitx1,Sik3,Slc38a2,Src,Timp1	19	17	9	2
abnormal fibula morphology	limbs/digits/tail phenotype,skeleton phenotype	Cyp27b1,Fbn2,Lrrk1,Sik3	4	4	4	0
abnormal foot pad morphology	limbs/digits/tail phenotype	Mad2l2	1	0	0	1
abnormal forebrain development	nervous system phenotype	Actr5,Alg10b,Atp1b3,Bmp4,Chchd1,Dennd1a,Egr1,Faf2,Fhod3,Folr1,Got2,Grhl2,Gxylt1,Hibch,Ift43,Ift52,Ipo9,Junb,Krit1,Mdh2,Nog,Nr6a1,Nsmce2,Pcgf1,Pcnp,Pdhb,Pigq,Ppp1r35,Rad9a,Rgl1,Slc35b4,Slc39a4,Sufu,Tbx20,Tiprl,Zmym2	36	31	34	0
abnormal forebrain morphology	nervous system phenotype	Anapc15,Bbox1,Cecr2,Cgn,Inpp5e,Mtf1,Pkmyt1,Ranbp1,Rexo1,Slc25a1,Snx3,Togaram1	12	9	11	0
abnormal forelimb morphology	limbs/digits/tail phenotype	Ctsa,Golph3,Npr2,Tpo,Trpc3	5	3	3	0
abnormal freezing behavior	behavior/neurological phenotype	Adgb,Arid1b,Asic1,Aspscr1,Atp8b1,Babam1,Cacna1g,Capn10,Casq1,Cntn5,Cstb,Cyb5b,Dhcr7,Ebf1,Efr3b,Eif2a,Ephb1,Ephb2,Fam160a2,Fam185a,Fam199x,Fzd1,H4f16,Hs3st3b1,Il17rc,Il2ra,Kansl1,Lsm8,Ms4a12,Nab2,Neurl4,Nlk,Pabpc5,Pgbd5,Plce1,Prrt2,Psd2,Pxk,Rit1,Robo2,Serac1,Slc25a18,Slc6a6,Slitrk2,Sowaha,Spz1,Stat1,Timm13,Ubd,Vldlr,Wdr11	51	0	30	25
abnormal gait	behavior/neurological phenotype	Acbd5,Adcy1,Agl,Ap3b2,Arl6ip1,Armh4,Arpc5l,Arvcf,Aspa,Atn1,Atp5l,Atp5md,Babam2,Baiap2l2,Barx2,Bbs5,Bean1,Bpnt2,Bscl2,Cacna1b,Cast,Cd300a,Cdh23,Chrdl1,Cldn11,Clstn3,Cmas,Ctsa,Cyb561,Cyba,Cyp19a1,Dapk1,Elavl4,Elmod1,Elmod2,Emc10,Epg5,Faf1,Fam83g,Fbn2,Fcgr3,Frmd6,Frrs1l,Ftl1,Gbx1,Gde1,Golt1b,Gosr2,Gpbp1,Gpd1,Gpr156,Gpr22,Gpr33,Gria1,Grin3b,Gsk3a,Hbp1,Hcn1,Hells,Hexb,Hhatl,Hip1,Hmox2,Hmx3,Hoxa2,Hprt,Hsd17b4,Inhbb,Itsn1,Kcnb1,Kcne1,Kcnma1,Krt90,Lefty1,Lepr,Lmod3,Lrrk1,Lyn,Marco,Mecr,Mfn2,Micu1,Mir96,Morc2a,Mpz,Mpzl2,Myo6,Mysm1,Nab2,Nacc2,Ndrg1,Ndrg4,Ndufa10,Ngfr,Nnt,Npr2,Nptn,Nrros,Nrxn2,Nsun2,P2rx5,Pbrm1,Pcdh10,Pde1a,Plcb4,Plcz1,Pnpt1,Pparg,Ppfia2,Prdm4,Prepl,Psmc2,Rabgap1,Rccd1,Rgl3,Rnf10,Rnf7,Scn4b,Sema3f,Setdb2,Setmar,Sez6l,Sirt3,Sirt4,Slc38a10,Slc41a3,Slc4a10,Slc6a2,Smoc1,Smyd5,Snapc1,Sorl1,Sox14,Stat1,Stk3,Strbp,Stx6,Stxbp5,Svop,Syt4,Tent5a,Tfrc,Th,Tmem51,Tmem63a,Tnfrsf11b,Tnks,Tox2,Tpo,Trim39,Trpc3,Txlna,Ube2b,Ube3c,Uhrf1,Usp22,Usp31,Vps35,Zfp106,Zfp287,Zfp830,Zscan5b	162	111	70	31
abnormal gallbladder morphology	liver/biliary system phenotype,endocrine/exocrine gland phenotype	4930524B15Rik,Afdn,Aim2,Akap13,Asic3,Cand1,Evc2,Fam83h,Lrrtm2,Neurl4,Pebp1,Plcb4,Rbbp4,Rnf208,Rnf5,Shank1,Shisal1,Slc10a1,Tent4a,Tprg	20	5	19	0
abnormal glycosylated hemoglobin level	homeostasis/metabolism phenotype,hematopoietic system phenotype	Stx7	1	0	1	0
abnormal hair growth	integument phenotype	1700008O03Rik,4933402N03Rik,Acer1,Dnah17,Duoxa2,Il18rap,Pcdh1,Prss53,Rasal2,Rhbdf2,Rtbdn,Sdc3,Slc5a7,Srcap,Tmem178b	15	10	8	5
abnormal hair texture	integument phenotype	Arpc4,Ide,Rad18,Supt7l	4	0	4	0
abnormal head morphology	growth/size/body region phenotype	Akap9,Ankrd11,Ap5z1,Appbp2,Babam1,Cdk5rap2,Celsr1,Cenpj,Ctnnb1,Ctsa,Dnase1l2,Duoxa2,Gpr176,Klhdc2,Lima1,Maz,Mettl5,Nfya,Npr2,Park7,Plag1,Pthlh,Rab36,Rnf168,Spred1,Trabd2b	26	15	20	3
abnormal head shape	craniofacial phenotype,growth/size/body region phenotype	Anapc15,Atp13a1,Axin2,Cep135,Cep290,Cnnm2,Dzip1l,Ebf2,Enkur,Gramd1b,Grhl2,Hesx1,Hmox1,Kcnj13,Kif1b,Nxn,Phgdh,Pkdcc,Sec24b,Slc25a1,Slc35d1,Slmap,Snx3,Tmem132a,Ubn2	25	24	28	0
abnormal head size	growth/size/body region phenotype	Atp13a1,Cnnm2,Cyb561,Enkur,Itch,Niban1,Npr2,Nxn,Phgdh,Slc25a1,Slmap,Smoc1,Spred1,Ubn2	14	14	13	0
abnormal heart left ventricle morphology	cardiovascular system phenotype	Aak1,Aoc1,Ap4e1,Bbs5,Calb1,Eftud2,Golt1b,Hmcn2,Il17rd,Itm2c,Klhl29,Leprotl1,Lmo1,Nek1,Phf8,Prdm4,Prdm8,Prkab1,Rasgrp3,Rxfp3,Sirt1,Thra,Yae1d1	23	0	12	25
abnormal heart looping	cardiovascular system phenotype	Flnc,Hyls1,Ift43,Ift52,Krit1,Nr6a1,Pcgf1,Pcnp,Pibf1,Pigq,Pkdcc,Pole2,Rgl1,Tbx20,Tedc1,Vcan	16	13	15	0
abnormal heart morphology	cardiovascular system phenotype	0610040J01Rik,1700003F12Rik,1700025G04Rik,2510009E07Rik,2610008E11Rik,4833420G17Rik,A830005F24Rik,AB124611,AU021092,Abhd17c,Abtb1,Ache,Acoxl,Actl7b,Adam8,Adamts1,Adamts9,Adipoq,Adm2,Adrb2,Aebp1,Afdn,Agtr1a,Ak7,Akap10,Alg10b,Amelx,Ankfy1,Ankub1,Ap2s1,Ap4e1,Arg2,Arhgap19,Arhgef12,Arhgef16,Arih2,Arl5c,Arl9,Armcx1,Asb16,Asb7,Atf2,Atf4,Atg7,Atn1,Baat,Babam1,Bbox1,Bbs1,Bicc1,Birc6,Bloc1s6,Bmp4,Btbd8,Bysl,Cabcoco1,Cabp4,Cacna1f,Cacnb2,Calb1,Calcb,Calhm1,Camk4,Cand1,Cartpt,Casc3,Ccdc92,Ccl28,Ccl9,Ccn3,Cd36,Cd83,Cdan1,Cdk8,Cdk9,Cdkn1a,Cep83,Cer1,Ces1d,Chst2,Churc1,Ciao2b,Cilk1,Cinp,Clcnkb,Cln8,Clnk,Clps,Cndp2,Cnnm2,Cnot7,Cops7a,Cox15,Crabp2,Crbn,Crispld2,Crlf2,Crx,Csf3r,Csnk2a2,Cul5,Cxadr,Cxcl17,Cygb,Cyp27a1,Cyren,Cysltr2,Dbn1,Dcaf8,Dcxr,Dgat2l6,Dgkq,Dhcr7,Disc1,Disp3,Dkk4,Dlx3,Dnase1,Dnase1l2,Dnmbp,Doxl2,Dpf2,Dpy19l1,Drd3,Dsp,Dstn,Dtx4,Duox2,Ebf1,Ebf2,Eloa,Emx1,Enam,Eng,Enkd1,Entpd8,Entr1,Epas1,Ephb1,Eppin,Erf,Etv6,Evc2,Exosc3,Faf2,Fam124a,Fam160b2,Fam167a,Fam185a,Fam221a,Fam53a,Fam71f1,Fam83d,Fam83h,Fbn2,Fbxo25,Fbxo44,Fbxw18,Fcrla,Fgf15,Fhod3,Flnc,Fndc3b,Folr1,Fosb,Foxo4,Fsd2,Fstl3,Ftl2-ps,Fzd5,Fzr1,Gabrr2,Gapvd1,Gh,Gin1,Gjb3,Gkn1,Gm10800,Gna15,Gne,Gnptab,Got2,Gp2,Gpbar1,Gpld1,Gpr139,Gpr65,Gprc6a,Gpsm1,Grhl2,Grik5,Grk5,Hacl1,Havcr2,Higd2a,Hivep1,Hoxa10,Hpgds,Hs3st3b1,Ift172,Ift43,Ift52,Il20rb,Il6,Ino80c,Ints10,Ipo9,Ippk,Irf3,Itsn2,Ivl,Jun,Kcna10,Kcnab3,Kdm3a,Klf9,Klhl10,Krit1,Krt27,Krtap17-1,Krtap8-1,Lamp1,Lancl2,Larp1,Lcmt1,Lef1,Lhfp,Lhx5,Lipe,Lmod3,Lmtk2,Lor,Lrrc30,Lrrtm2,Lst1,Lta,Luc7l,Ly86,Maf,Mapkapk3,Marchf3,Marchf8,Mbd6,Mcl1,Med1,Mfng,Mgst2,Mief1,Mllt10,Mmp11,Mmp2,Mplkip,Ms4a3,Msantd1,Msh3,Mtap,Mtpap,Myb,Mybpc3,Mycbp2,Naa10,Naa38,Nalcn,Ncf1,Nck1,Ncoa5,Negr1,Nhlrc3,Niban1,Nifk,Nlrp1a,Nog,Notch3,Npas2,Npr3,Nr6a1,Nub1,Nucb1,Nudt19,Odf3l2,Olfr1006,Olfr376,Otol1,P2ry13,P3h1,Padi4,Pate2,Pcgf1,Pcnp,Pdcd6ip,Pde6b,Pdik1l,Pdp1,Pebp1,Pgbd1,Phc3,Pibf1,Pigq,Pla2g10,Pla2g2f,Pla2g4b,Plat,Plce1,Plekha8,Pmch,Pms1,Pole2,Ppp1r35,Ppp2r5c,Pramel12,Prdm8,Prg3,Prkab1,Prpf38b,Prrxl1,Prss21,Prss35,Prss54,Psph,Ptgis,Ptp4a1,Ptpn14,Ptprm,Ptprs,Rab32,Rac1,Rad9a,Ranbp10,Rasd1,Rassf8,Rb1cc1,Rbm22,Retreg2,Rexo1,Rffl,Rgcc,Rgl1,Rhag,Rhpn1,Rlim,Rnase11,Rnase12,Rnd2,Rnf168,Rnf19b,Rnf208,Rnf223,Rnf31,Rtl5,Sbf1,Sbsn,Sephs2,Serpinb10,Sfmbt2,Shld1,Six1,Slc10a1,Slc25a3,Slc35b4,Slc37a1,Slc38a11,Slc9b1,Smim8,Sowaha,Spata22,Spata46,Sphk1,Spink13,Spred2,Spryd4,Spz1,Ssbp2,Sstr2,Sting1,Stx11,Sumf1,Sumo1,Taf9b,Tbx20,Tdo2,Tedc1,Tfap4,Tfr2,Tgds,Tgfbr2,Thbs1,Timp4,Tiparp,Tmed10,Tmem145,Tmem160,Tmem184b,Tmem225,Tmem237,Tmem63c,Tmub2,Tnfaip8l1,Tomm6,Toporsl,Tox,Trappc1,Trappc2l,Tspan32,Twist2,Txndc5,Ube2f,Ubr2,Ubtf,Ucn3,Uggt1,Vcan,Wdhd1,Wdr11,Wdr49,Wdr60,Wnt11,Zbed4,Zbtb46,Zc3h11a,Zc3h8,Zc3hav1l,Zfp236,Zfp398,Zfp474,Zrsr2	425	448	263	0
abnormal heart position or orientation	cardiovascular system phenotype	Otub1	1	2	3	0
abnormal heart shape	cardiovascular system phenotype	Arg2,Arhgef12,Asb16,Clcnkb,Etv6,Gin1,Rffl,Serpinb10,Spata46,Spz1,Ube2f,Zc3h11a,Zfp236	13	8	6	0
abnormal heart weight	cardiovascular system phenotype	Nlgn3,Pnma3,Stx7	3	0	1	2
abnormal hematocrit	hematopoietic system phenotype	Agtr1a,Frmpd2,Hrh1	3	0	1	2
abnormal hemoglobin content	hematopoietic system phenotype	Agtr1a,Dync2h1,Trpc2	3	0	1	2
abnormal hindbrain development	nervous system phenotype	Actr5,Afdn,Alg10b,Atp1b3,Bmp4,Chchd1,Dennd1a,Egr1,Faf2,Fhod3,Folr1,Got2,Grhl2,Hibch,Ift43,Ipo7,Ipo9,Junb,Krit1,Nr6a1,Pcnp,Pigq,Pkdcc,Pole2,Rad9a,Rgl1,Rnf31,Sfmbt2,Sfr1,Slc35b4,Slc39a4,Sufu,Taf12	33	28	33	0
abnormal hindbrain morphology	nervous system phenotype	Anapc15,Bbox1,Calu,Cecr2,Ino80c,Inpp5e,Laptm4b,Phgdh,Pygo2,Ranbp1,Scrib,Slc25a1,Snx3	13	12	10	0
abnormal hindlimb morphology	limbs/digits/tail phenotype	Ctsa,Dnase1l2,Mysm1,Npr2,Rnf13,Tpo	6	4	3	1
abnormal humerus morphology	limbs/digits/tail phenotype,skeleton phenotype	Cenpj,Cibar1,Col9a2,Cyp27b1,Duoxa2,Dusp3,Fbf1,Fbn2,Lrrk1,Nsun2,Sik3,Snapc4,Sparc,Timp1,Tram2	15	13	10	1
abnormal ileum morphology	digestive/alimentary phenotype	Cadps2,Dnal1,Fpr3,Trim71	4	2	2	0
abnormal incisor color	growth/size/body region phenotype,craniofacial phenotype,skeleton phenotype	Bnip2,Slc20a2,Sparc,Tmem189	4	2	4	0
abnormal incisor morphology	growth/size/body region phenotype,craniofacial phenotype,skeleton phenotype	Aff3,Exoc3l2,Hsp90aa1,Ide,Jmjd4,Ltbp1,Pvr,Setd5,Slc25a21,Tchp	10	4	1	5
abnormal inspiratory capacity	respiratory system phenotype	Ap4e1,Asb7,Fam126a,Prdm8,Tmem240	5	0	2	4
abnormal iris morphology	vision/eye phenotype	Abi2,Afg1l,Agap1,Bmp4,Clic5,Cubn,Cyb561,Diaph3,Dsg1b,Duoxa2,E2f3,Ehmt1,Fam163a,Glyr1,Hsd17b4,Ik,Jmjd1c,Kat14,Kdm8,Lyst,Mettl5,Myo10,Nr1d2,Pex6,Plekha5,Prdm4,Pus1,R3hcc1l,Sfrp1,Sirt1,Slc20a2,Spns2,Tmem165,Trpm7	34	13	15	10
abnormal iris pigmentation	pigmentation phenotype,vision/eye phenotype	Aasdhppt,Abi2,Ccdc28a,Col18a1,Diaph3,Dtnbp1,Eddm3b,Epb41l1,Ik,Kdm8,Plekha5,Pus1,Sars,Svep1	14	9	6	4
abnormal iris transillumination	vision/eye phenotype	Diaph3,Pus1,Slc24a5,Svep1	4	3	2	0
abnormal iron homeostasis	homeostasis/metabolism phenotype	Slc12a1,Trmt1l	2	0	0	2
abnormal jejunum morphology	digestive/alimentary phenotype	Cadps2,E2f3,Fdx2,Slc12a5,Tmem248,Trim71,Ybx3	7	4	4	0
abnormal joint morphology	skeleton phenotype	C1rl,Cenpj,Chtop,Cnpy2,Col9a2,Cyp27b1,Dnase1l2,Duoxa2,Dym,Fbn2,Kctd10,Klk11,Klk12,Klk15,Lrrk1,Mapkapk2,Nsun2,Pepd,Phex,Pitx1,Prg4,Rhobtb3,Sbsn,Sik3,Slc25a21,Trabd2b,Tram2,Ube2g1,Ube2n	29	16	19	7
